Site_ID *,Site_Name,"""Other_Name""",Last_Updt,Commodity,MinReg_ID,Remarks,Approx_Lon,Approx_Lat,Loc_Pt,Loc_Poly,GeolMinOcc,Resources,Production,History,Dep_Model,Descr_Sum
NM00041,Black Hawk,"""<Null>""",2018-05-11,cobalt,Mr00154,<Null>,-108.501,32.725,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
NM00041,Black Hawk,"""<Null>""",2018-05-11, nickel,Mr00154,<Null>,-108.501,32.725,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
NM00041,Black Hawk,"""<Null>""",2018-05-11, zinc,Mr00154,<Null>,-108.501,32.725,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
NM00041,Black Hawk,"""<Null>""",2018-05-11, silver,Mr00154,<Null>,-108.501,32.725,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
NM00041,Black Hawk,"""<Null>""",2018-05-11, copper,Mr00154,<Null>,-108.501,32.725,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
NM00041,Black Hawk,"""<Null>""",2018-05-11, gold,Mr00154,<Null>,-108.501,32.725,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
NM00041,Black Hawk,"""<Null>""",2018-05-11, uranium,Mr00154,<Null>,-108.501,32.725,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
NM00042,Black Hawk District,"""<Null>""",2018-05-18,cobalt,Mr00154,<Null>,-108.501,32.725,Yes,Yes,No,No,Yes,Yes,No,Yes
NM00042,Black Hawk District,"""<Null>""",2018-05-18, nickel,Mr00154,<Null>,-108.501,32.725,Yes,Yes,No,No,Yes,Yes,No,Yes
NM00042,Black Hawk District,"""<Null>""",2018-05-18, zinc,Mr00154,<Null>,-108.501,32.725,Yes,Yes,No,No,Yes,Yes,No,Yes
NM00042,Black Hawk District,"""<Null>""",2018-05-18, silver,Mr00154,<Null>,-108.501,32.725,Yes,Yes,No,No,Yes,Yes,No,Yes
NM00042,Black Hawk District,"""<Null>""",2018-05-18, copper,Mr00154,<Null>,-108.501,32.725,Yes,Yes,No,No,Yes,Yes,No,Yes
NM00042,Black Hawk District,"""<Null>""",2018-05-18, gold,Mr00154,<Null>,-108.501,32.725,Yes,Yes,No,No,Yes,Yes,No,Yes
NM00042,Black Hawk District,"""<Null>""",2018-05-18, uranium,Mr00154,<Null>,-108.501,32.725,Yes,Yes,No,No,Yes,Yes,No,Yes
OR00001,Turner,"""Turner-Albright; Mammoth""",2018-04-18,gold,<Null>,<Null>,-123.758,41.999,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
OR00001,Turner,"""Turner-Albright; Mammoth""",2018-04-18, copper,<Null>,<Null>,-123.758,41.999,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
OR00001,Turner,"""Turner-Albright; Mammoth""",2018-04-18, silver,<Null>,<Null>,-123.758,41.999,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
OR00001,Turner,"""Turner-Albright; Mammoth""",2018-04-18, zinc,<Null>,<Null>,-123.758,41.999,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
OR00001,Turner,"""Turner-Albright; Mammoth""",2018-04-18, cobalt,<Null>,<Null>,-123.758,41.999,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
OR00002,Eight Dollar Mountain,"""<Null>""",2018-05-10,nickel,Mr00155,<Null>,-123.663,42.258,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
OR00002,Eight Dollar Mountain,"""<Null>""",2018-05-10, cobalt,Mr00155,<Null>,-123.663,42.258,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
OR00002,Eight Dollar Mountain,"""<Null>""",2018-05-10, chromium,Mr00155,<Null>,-123.663,42.258,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
OR00005,Nickel Mountain,"""Riddle; Hanna""",2018-04-26,cobalt,<Null>,<Null>,-123.437,42.963,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
OR00005,Nickel Mountain,"""Riddle; Hanna""",2018-04-26, nickel,<Null>,<Null>,-123.437,42.963,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PA00001,Cornwall,"""<Null>""",2018-04-19,iron,<Null>,<Null>,-76.411,40.267,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
PA00001,Cornwall,"""<Null>""",2018-04-19, copper,<Null>,<Null>,-76.411,40.267,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
PA00001,Cornwall,"""<Null>""",2018-04-19, sulfur,<Null>,<Null>,-76.411,40.267,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
PA00001,Cornwall,"""<Null>""",2018-04-19, cobalt,<Null>,<Null>,-76.411,40.267,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
PA00001,Cornwall,"""<Null>""",2018-04-19, gold,<Null>,<Null>,-76.411,40.267,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
PA00001,Cornwall,"""<Null>""",2018-04-19, silver,<Null>,<Null>,-76.411,40.267,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
PR00001,Guanajibo,"""<Null>""",2018-07-17,cobalt,<Null>,<Null>,-67.159816,18.136267,Yes,Yes,Yes,Yes,No,No,Yes,No
PR00001,Guanajibo,"""<Null>""",2018-07-17, chromium,<Null>,<Null>,-67.159816,18.136267,Yes,Yes,Yes,Yes,No,No,Yes,No
